BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Auftrag_Typ_4:2	01.10.2020 00:01:23.0837	01.10.2020 00:18:10.7793	16:47.6956	0.63	0.37	01.10.2020 00:54:29.4170	31.63			1
Auftrag_Typ_3:5	01.10.2020 00:01:24.8237	01.10.2020 02:58:51.0570	2:57:26.2333	0.03	0.97	01.10.2020 00:34:28.1570	536.78			-5
Auftrag_Typ_3:6	01.10.2020 00:01:25.1751	01.10.2020 00:14:53.6911	13:28.5160	0.83	0.17	01.10.2020 00:34:28.5085	40.77			1
Auftrag_Typ_1:11	01.10.2020 00:01:27.1584	01.10.2020 01:41:25.2871	1:39:58.1287	0.08	0.92	01.10.2020 00:34:00.4917	307.07			-5
Auftrag_Typ_2:4	01.10.2020 00:01:27.2417	01.10.2020 00:16:28.6872	15:01.4455	0.28	0.72	01.10.2020 00:37:53.9084	41.22			1
Auftrag_Typ_2:5	01.10.2020 00:01:27.3013	01.10.2020 01:16:04.5051	1:14:37.2039	0.03	0.97	01.10.2020 00:37:53.9679	204.75			-5
Auftrag_Typ_2:6	01.10.2020 00:01:28.6296	01.10.2020 00:32:18.5699	30:49.9403	0.51	0.49	01.10.2020 00:37:55.2963	84.60			1
Auftrag_Typ_3:7	01.10.2020 00:01:29.1469	01.10.2020 00:10:40.9732	9:11.8263	0.46	0.54	01.10.2020 00:34:32.4802	27.82			1
Auftrag_Typ_2:7	01.10.2020 00:01:30.8885	01.10.2020 00:54:26.8871	52:55.9986	0.10	0.90	01.10.2020 00:37:57.5552	145.24			-3
Auftrag_Typ_4:3	01.10.2020 00:01:31.0712	01.10.2020 01:05:15.6811	1:03:44.6100	0.39	0.61	01.10.2020 00:54:37.4045	120.03			-3
Auftrag_Typ_4:4	01.10.2020 00:01:32.2617	01.10.2020 00:59:41.0572	58:08.7955	0.44	0.56	01.10.2020 00:54:38.5950	109.49			-2
Auftrag_Typ_6:3	01.10.2020 00:01:32.4822	01.10.2020 00:30:11.5112	28:39.0289	0.50	0.50	01.10.2020 02:00:05.8156	24.17			1
Auftrag_Typ_3:8	01.10.2020 00:01:33.2961	01.10.2020 00:15:30.7711	13:57.4750	0.26	0.74	01.10.2020 00:34:36.6294	42.23			1
Auftrag_Typ_3:9	01.10.2020 00:01:34.7535	01.10.2020 00:16:07.8511	14:33.0976	0.14	0.86	01.10.2020 00:34:38.0868	44.02			1
Auftrag_Typ_5:5	01.10.2020 00:01:36.4353	01.10.2020 01:18:54.8892	1:17:18.4539	0.27	0.73	01.10.2020 01:37:14.7687	80.83			1
Auftrag_Typ_4:5	01.10.2020 00:01:36.4581	01.10.2020 00:21:57.3872	20:20.9291	0.23	0.77	01.10.2020 00:54:42.7915	38.32			1
Auftrag_Typ_1:12	01.10.2020 00:01:38.3351	01.10.2020 00:53:30.1599	51:51.8247	0.07	0.93	01.10.2020 00:34:11.6685	159.31			-4
Auftrag_Typ_2:8	01.10.2020 00:01:39.2450	01.10.2020 00:49:20.0620	47:40.8170	0.07	0.93	01.10.2020 00:38:05.9117	130.83			-3
Auftrag_Typ_1:13	01.10.2020 00:01:39.5378	01.10.2020 00:41:11.5811	39:32.0434	0.14	0.86	01.10.2020 00:34:12.8711	121.44			-3
Auftrag_Typ_1:14	01.10.2020 00:01:40.3445	01.10.2020 01:15:30.2011	1:13:49.8566	0.10	0.90	01.10.2020 00:34:13.6778	226.78			-5
Auftrag_Typ_1:15	01.10.2020 00:01:40.5100	01.10.2020 01:07:07.8372	1:05:27.3272	0.10	0.90	01.10.2020 00:34:13.8434	201.06			-5
Auftrag_Typ_1:16	01.10.2020 00:01:41.0728	01.10.2020 01:11:16.5372	1:09:35.4644	0.10	0.90	01.10.2020 00:34:14.4061	213.76			-5
Auftrag_Typ_1:17	01.10.2020 00:01:41.1213	01.10.2020 00:53:45.0944	52:03.9732	0.12	0.88	01.10.2020 00:34:14.4546	159.93			-4
Auftrag_Typ_4:6	01.10.2020 00:01:42.8172	01.10.2020 00:12:09.3873	10:26.5700	0.55	0.45	01.10.2020 00:54:49.1506	19.66			1
Auftrag_Typ_6:4	01.10.2020 00:01:42.9838	01.10.2020 00:57:45.0292	56:02.0454	0.65	0.35	01.10.2020 02:00:16.3171	47.26			1
Auftrag_Typ_5:6	01.10.2020 00:01:46.8858	01.10.2020 00:52:34.2899	50:47.4041	0.40	0.60	01.10.2020 01:37:25.2191	53.11			1
Auftrag_Typ_3:10	01.10.2020 00:01:47.7268	01.10.2020 00:48:04.5580	46:16.8312	0.11	0.89	01.10.2020 00:34:51.0601	140.01			-3
